id,table,predict,truth,Missing information,Numerical extraction errors,Entity extraction errors,Redundant facts
scigen_dev_1,"Batch size Throughput (instances/s) Inference Throughput (instances/s) Training
 0 Batch size  Fold Fold
 1  1  16.5  9.0
 2 10  52.2 37.5
 3 25  61.6 54.7","Our approach outperforms TensorFlow on inference with efficient parallel execution of tree nodes. With the large dataset, the recursive approach is unable to get reasonable results even with the largest batch size. However, the folds still achieve the best trade-off between efficiency and throughput. With the small dataset, the folding technique is unable to get reasonable results even with the largest batch size. We believe the issues with the fold training are in the greedy decoding algorithm and the small training batch size.","Table 2 compares the throughput of performing inference and training on the TreeLSTM model using our implementation, the iterative approach, and the folding technique. The amount of resources is sufficient for executing forward computations, and therefore our framework outperforms the folding technique for the inference task with up to 4.93x faster throughput. [CONTINUE] As a result, the folding technique performs better than the recursive approach for the training task.",1,1,1,1
scigen_dev_2,"Batch size Throughput (instances/s) Balanced Throughput (instances/s) Moderate Throughput (instances/s) Linear
 0 1 46.7 27.3  7.6
 1  10  125.2 78.2 22.7
 2  25  129.7 83.1 45.4","The results confirm our hypothesis that the Transformer architecture benefits from wider context than simple parallelization. Moreover, the “balanced” dataset exhibits highest throughput thanks to the high degree of parallelization, but at the same time does not improve as well as the linear dataset when the batch size increases from 1 to 25. This suggests that there is only a small room of performance improvement left, if we focus on balancing the tree lattices.","Table 1 shows the throughput of training the TreeRNN model using these three datasets. For all batch sizes, the training throughput on the balanced dataset is the highest, while the throughput on the linear dataset is the lowest. [CONTINUE] As a result, our implementation can train input data of balanced trees with greater throughput than input data of unbalanced trees. [CONTINUE] Another interesting fact in Table 1 is that the training throughput on the linear dataset scales better than the throughput on the balanced dataset, as the batch size increases. [CONTINUE] On the contrary, for the linear dataset, the recursive implementation fails to efficiently make use of CPU resources and thus the performance gain provided by increasing the batch size is relatively high.",1,1,1,1
scigen_dev_3,"[BOLD] Representation [BOLD] Hyper parameters Filter size [BOLD] Hyper parameters Num. Feature maps [BOLD] Hyper parameters Activation func. [BOLD] Hyper parameters L2 Reg. [BOLD] Hyper parameters Learning rate [BOLD] Hyper parameters Dropout Prob. [BOLD] F1.(avg. in 5-fold) with default values [BOLD] F1.(avg. in 5-fold) with optimal values
 0  CoNLL08  4-5 1000  Softplus 1.15e+01 1.13e-03  1 73.34 74.49
 1 SB  4-5  806 Sigmoid 8.13e-02 1.79e-03 0.87 72.83  [BOLD] 75.05
 2  UD v1.3  5  716  Softplus 1.66e+00 9.63E-04  1 68.93 69.57","We also report the model performance (F1) in 5-fold cross validation experiments with the default hyperparameters. The results show that the max pooling strategy consistently performs better in all model variations. For example, on the CoNLL08 representation, the Sigmoid activation function with a filter size of 1000 performs best. It is also the best performing representation in terms of F1.","Table 2 presents the optimal values for each configuration using different dependency representations. We see that the optimized parameter settings vary for the different representations, showing the importance of tuning for these types of comparisons. The results furthermore show that the sdps based on the Stanford Basic (SB) representation provide the best performance, followed by the CoNLL08 representation. We observe that the results for the UD representation are quite a bit lower than the two others.",1,1,1,1
scigen_dev_4,"[BOLD] Relation [BOLD] best F1 (in 5-fold) without sdp [BOLD] best F1 (in 5-fold) with sdp [BOLD] Diff.
 0  USAGE 60.34  80.24 + 19.90
 1  MODEL-FEATURE 48.89  70.00 + 21.11
 2 PART_WHOLE 29.51  70.27  +40.76
 3  TOPIC 45.80  91.26  +45.46
 4 RESULT 54.35  81.58  +27.23
 5  COMPARE 20.00  61.82 + 41.82
 6 macro-averaged 50.10  76.10  +26.00","The results clearly show that SSDP significantly improves the performance of relation extraction, especially for the comparison and topic relations. Compared to the baseline model (part_whole), SSDP provides sizable improvements in accuracy on all relations, especially for the comparison and topic relations.","We find that the effect of syntactic structure varies between the different relation types. However, the sdp information has a clear positive impact on all the relation types (Table 1).",0,0,1,0
scigen_dev_5,"[EMPTY]  C-F1 100% C-F1 50%  R-F1 100% R-F1 50%  F1 100% F1 50%
 0 Y-3  49.59  65.37  26.28  37.00  34.35  47.25
 1 Y-3:Y<italic>C</italic>-1  54.71  66.84  28.44  37.35  37.40  47.92
 2 Y-3:Y<italic>R</italic>-1  51.32  66.49  26.92  37.18  35.31  47.69
 3 Y-3:Y<italic>C</italic>-3 <bold>54.58</bold>  67.66 <bold>30.22</bold> <bold>40.30</bold> <bold>38.90</bold> <bold>50.51</bold>
 4 Y-3:Y<italic>R</italic>-3  53.31  66.71  26.65  35.86  35.53  46.64
 5 Y-3:Y<italic>C</italic>-1:Y<italic>R</italic>-2  52.95 <bold>67.84</bold>  27.90  39.71  36.54  50.09
 6 Y-3:Y<italic>C</italic>-3:Y<italic>R</italic>-3  54.55  67.60  28.30  38.26  37.26  48.86","In this section, we report results on the model’s performance on different tasks, including C-F1, R-F1 and F1. We can see from the table that the best performance is achieved by the Y-3:Y<C</italic>- model, which achieves a relative improvement of 8.53% on C-F1 and 7.35% on R-F1. When the Y-3 and Y-Y<R</italic> are separated, the model’s performance improves by another 3.91% on C-F1 and 7.35% on R-F1.","Accordingly, as Table 3 shows for the essay level (paragraph level omitted for space reasons), results are generally weaker: [CONTINUE] as in Eq. (1)—the overall result is worst. We find that when we train STagBL with only its main task—with label set [CONTINUE] In Y contrast, when we include the 'natural subtasks' ""C"" (label [CONTINUE] performance increases typically by a few percentage points.",1,1,1,1
scigen_dev_6,"[EMPTY] Paragraph level Acc. Paragraph level C-F1 Paragraph level R-F1 Paragraph level F1 Essay level Acc. Essay level C-F1 Essay level R-F1 Essay level F1
 0 [EMPTY] [EMPTY] 50% 50%  50%  [EMPTY]  50%  50%  50%
 1  MST-Parser 31.23  6.90  1.29 2.17  [EMPTY]  [EMPTY]  [EMPTY]  [EMPTY]
 2  Mate 22.71 12.34  4.59 6.69  [EMPTY]  [EMPTY]  [EMPTY]  [EMPTY]
 3 Kiperwasser 52.80 61.57 34.25  44.01  [EMPTY]  [EMPTY]  [EMPTY]  [EMPTY]
 4 LSTM-Parser 55.68 68.20 40.87  51.11  [EMPTY]  [EMPTY]  [EMPTY]  [EMPTY]
 5  STagBLCC 59.34 74.08 44.02  55.22 <bold>60.46</bold>  69.49 <bold>39.68</bold> <bold>50.51</bold>
 6 LSTM-ER  <bold>61.67</bold>  <bold>77.19</bold>  <bold>50.05</bold> <bold>60.72</bold>  54.17 <bold>73.02</bold>  32.72  45.19
 7 ILP 60.32 73.35 44.29  55.23  [EMPTY]  [EMPTY]  [EMPTY]  [EMPTY]","ilp achieves the best performance on all three metrics, and outperforms the other parsers on all three. The results are especially impressive on the paragraph level, where the ILP model achieves an accuracy of 60.32% and F1 of 73.35%, compared to Kiperwasser’s 61.80% and LSTM-Parser’s 68.20%. In the essay level, the ILP model also achieves an accuracy of 54.17% and F1 of 73.23%, compared to Kiperwasser’s 34.25% and LSTM-Parser’s 40.87%.","We train and test all parsers on the paragraph level, [CONTINUE] Mate is slightly better [CONTINUE] Kiperwasser performs decently on the approximate match level, but not on exact level. [CONTINUE] The best parser by far is the LSTM-Parser. It is over 100% better than Kiperwasser on exact spans and still several percentage points on approximate spans. [CONTINUE] : Performance of dependency parsers, STagBLCC, LSTM-ER and ILP (from top to bottom). [CONTINUE] On the other hand, our results in Table 2 indicate that the neural taggers BLCC and BLC (in the LSTMER model) are much better at such exact identification than either the ILP model or the neural parsers.",1,1,1,1
scigen_dev_7,"[EMPTY] STagBLCC LSTM-Parser
 0 Essay 60.62±3.54 9.40±13.57
 1 Paragraph 64.74±1.97 56.24±2.87","We compared the paragraph-level system to the essay-level system using F1 scores. The difference is very small, but significant. It is clear that the parser’s performance is much better here than it was for the paragraph-level evaluation.","These results detail that the taggers have lower standard deviations than the parsers. The difference is particularly striking on the essay level where the parsers often completely fail to learn, that is, their performance scores are close to 0%.",1,0,1,0
scigen_dev_8,"Train Test [BOLD] System [BOLD] BLEU [BOLD] NIST [BOLD] METEOR [BOLD] ROUGE-L [BOLD] CIDEr [BOLD] Add [BOLD] Miss [BOLD] Wrong [BOLD] SER
 0 Original [BOLD] Cleaned  TGen−  36.85 5.3782  35.14 55.01  1.6016 00.34  09.81 00.15 10.31
 1 Original [BOLD] Cleaned TGen  39.23 6.0217  36.97 55.52  1.7623 00.40  03.59 00.07 04.05
 2 Original [BOLD] Cleaned  TGen+  40.25 6.1448  37.50 56.19  1.8181 00.21  01.99 00.05 02.24
 3 Original [BOLD] Cleaned  SC-LSTM  23.88 3.9310  32.11 39.90  0.5036 07.73  17.76 09.52 35.03
 4  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Cleaned  TGen−  40.19 6.0543  37.38 55.88  1.8104 00.17  01.31 00.25 01.72
 5  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Cleaned TGen  40.73 6.1711  37.76 56.09  1.8518 00.07  00.72 00.08 00.87
 6  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Cleaned  TGen+  40.51 6.1226  37.61 55.98  1.8286 00.02  00.63 00.06 00.70
 7  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Cleaned  SC-LSTM  23.66 3.9511  32.93 39.29  0.3855 07.89  15.60 08.44 31.94
 8  Cleaned missing [BOLD] Cleaned  TGen−  40.48 6.0269  37.26 56.19  1.7999 00.43  02.84 00.26 03.52
 9  Cleaned missing [BOLD] Cleaned TGen  41.57 6.2830  37.99 56.36  1.8849 00.37  01.40 00.09 01.86
 10 Cleaned missing [BOLD] Cleaned  TGen+  41.56 6.2700  37.94 56.38  1.8827 00.21  01.04 00.07 01.31
 11 1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned added [BOLD] Cleaned  TGen−  35.99 5.0734  34.74 54.79  1.5259 00.02  11.58 00.02 11.62
 12 1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned added [BOLD] Cleaned TGen  40.07 6.1243  37.45 55.81  1.8026 00.05  03.23 00.01 03.29
 13 1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned added [BOLD] Cleaned  TGen+  40.80 6.2197  37.86 56.13  1.8422 00.01  01.87 00.01 01.88","S5SS3SSS0Px1 Results As shown in Table 3, using a trained generative model (TGen) improves upon training with only original data, as expected. However, adding generated data from a different model (TGen−) brings additional gains, both for the test set and the cleaned test set. Another observation is that models trained on the train set, which were not exposed to the clean data, perform worse on the test set than models trained on the original set. Intuitively, this makes sense: if the model has access to the generated data, the performance on the test set should be better. We believe there are two reasons for this. First, the generation data in the train set is synthetic and the language model distribution is different from the test set. Second, we have a less large amount of train data, so the effect of adding synthetic data on the test set is less obvious.","The results for testing on cleaned data (Table 3, top half) confirm the positive impact of cleaned training data and also show that the cleaned test data is more challenging (cf. Section 3), as reflected in the lower WOMs. [CONTINUE] However, the improved results for training and testing on clean data (i.e. seeing equally challenging examples at training and test time), suggest the increase in performance can be attributed to data accuracy rather than diversity. [CONTINUE] Looking at the detailed results for the number of added, missing, and wrong-valued slots (Add, Miss, Wrong), we observe more deletions than insertions, i.e. the models more often fail to realise part of the MR, rather than hallucinating additional information. [CONTINUE] However, the results in bottom halves [CONTINUE] of Tables 2 and 3 do not support our hypothesis: we observe the main effect on SER from cleaning the missed slots, reducing both insertions and deletions. Again, one possible explanation is that cleaning the missing slots provided more complex training examples.",0,0,0,0
scigen_dev_9,"[BOLD] Dataset [BOLD] Part [BOLD] MRs [BOLD] Refs [BOLD] SER(%)
 0  Original  Train 4,862 42,061  17.69
 1  Original  Dev 547  4,672  11.42
 2  Original Test 630  4,693  11.49
 3 [0.5pt/2pt] Cleaned  Train 8,362 33,525 (0.00)
 4 [0.5pt/2pt] Cleaned  Dev 1,132  4,299 (0.00)
 5 [0.5pt/2pt] Cleaned Test 1,358  4,693 (0.00)","We ran our experiments on the E2E dataset using the same settings with the exception of the number of references for the “dev” part of the dataset and the removal of repetitions. From the table, we can see that the SER of the clean dataset is very low (0.00) although it is significantly higher than the SER of the original E2E dataset. This is expected given that the E2E dataset has fewer references than the train set.","This resulted in 20% reduction for TRAIN and ca. 8% reduction for DEV in terms of references (see Table 1). On the other hand, the number of distinct MRs rose sharply after reannotation; the MRs also have more variance in the number of attributes. This means that the cleaned dataset is more complex overall, with fewer references per MR and more diverse MRs.",1,1,0,0
scigen_dev_10,"Train  Test [BOLD] System [BOLD] BLEU [BOLD] NIST [BOLD] METEOR [BOLD] ROUGE-L [BOLD] CIDEr [BOLD] Add [BOLD] Miss [BOLD] Wrong [BOLD] SER
 0 Original [BOLD] Original  TGen−  63.37 7.7188  41.99 68.53  1.9355 00.06  15.77 00.11 15.94
 1 Original [BOLD] Original TGen  66.41 8.5565  45.07 69.17  2.2253 00.14  04.11 00.03 04.27
 2 Original [BOLD] Original  TGen+  67.06 8.5871  45.83 69.73  2.2681 00.04  01.75 00.01 01.80
 3 Original [BOLD] Original  SC-LSTM  39.11 5.6704  36.83 50.02  0.6045 02.79  18.90 09.79 31.51
 4  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Original  TGen−  65.87 8.6400  44.20 67.51  2.1710 00.20  00.56 00.21 00.97
 5  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Original TGen  66.24 8.6889  44.66 67.85  2.2181 00.10  00.02 00.00 00.12
 6  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Original  TGen+  65.97 8.6630  44.45 67.59  2.1855 00.02  00.00 00.00 00.03
 7  1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned [BOLD] Original  SC-LSTM  38.52 5.7125  37.45 48.50  0.4343 03.85  17.39 08.12 29.37
 8  Cleaned missing [BOLD] Original  TGen−  66.28 8.5202  43.96 67.83  2.1375 00.14  02.26 00.22 02.61
 9  Cleaned missing [BOLD] Original TGen  67.00 8.6889  44.97 68.19  2.2228 00.06  00.44 00.03 00.53
 10 Cleaned missing [BOLD] Original  TGen+  66.74 8.6649  44.84 67.95  2.2018 00.00  00.21 00.03 00.24
 11 1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned added [BOLD] Original  TGen−  64.40 7.9692  42.81 68.87  2.0563 00.01  13.08 00.00 13.09
 12 1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned added [BOLD] Original TGen  66.23 8.5578  45.12 68.87  2.2548 00.04  03.04 00.00 03.09
 13 1-1[0.5pt/2pt]3-12[0.5pt/2pt] Cleaned added [BOLD] Original  TGen+  65.96 8.5238  45.49 68.79  2.2456 00.00  01.44 00.00 01.45","Sc-LSTM is worse than TGen on BLEU and METEOR, but better on CIDEr. This is attributed to the multi-class filtering used by SC-LSTM compared to TGen. In terms of ROUGE-L, we see that it is missing two thirds of the data. However, as the data is badly imbalanced, the effect of missing metrics is less pronounced.","The results in Table 2 (top half) for the original setup confirm that the ranking mechanism for TGen is effective for both WOMs and SER, whereas the SC-LSTM seems to have trouble scaling to the E2E dataset. We hypothesise that this is mainly due to the amount of delexicalisation required. However, the main improvement of SER comes from training on cleaned data with up to 97% error reduction with the ranker and 94% without.11 just cleaning the training data has a much more dramatic effect than just using a semantic control mechanism, such as the reranker (0.97% vs. 4.27% SER). WOMs are slightly lower for TGen trained on the cleaned data, except for NIST, which gives more importance to matching less frequent n-grams. This suggests better preservation of content at the expense of slightly lower fluency. In other words, [CONTINUE] However, the results in bottom halves [CONTINUE] of Tables 2 and 3 do not support our hypothesis: we observe the main effect on SER from cleaning the missed slots, reducing both insertions and deletions. Again, one possible explanation is that cleaning the missing slots provided more complex training examples.",0,0,0,0
